X,Y,Layer1
77.5,34.5,5.210514
78.0,34.5,7.766665
75.0,34.0,2.469471
75.5,34.0,5.6362424
76.0,34.0,6.789743
76.5,34.0,6.967761
77.0,34.0,5.7850413
77.5,34.0,4.882519
78.0,34.0,6.616889
74.5,33.5,3.2401757
75.0,33.5,3.0279882
75.5,33.5,3.381418
76.0,33.5,4.2255807
76.5,33.5,6.447203
77.0,33.5,6.246026
77.5,33.5,6.9164696
78.0,33.5,7.191727
78.5,33.5,8.767148
75.0,33.0,3.448668
75.5,33.0,3.1165822
76.0,33.0,2.8107917
76.5,33.0,4.227668
77.0,33.0,7.3970695
77.5,33.0,7.8549743
78.0,33.0,8.117773
78.5,33.0,7.55511
76.0,32.5,2.5356014
76.5,32.5,3.5527575
77.0,32.5,4.8130484
77.5,32.5,6.896896
78.0,32.5,7.7956834
76.0,32.0,3.1238313
76.5,32.0,2.5317729
77.0,32.0,2.4471204
77.5,32.0,4.115285
78.0,32.0,6.8287587
75.0,31.5,4.3855295
75.5,31.5,4.516517
76.0,31.5,4.356698
76.5,31.5,3.2651114
77.0,31.5,2.8354547
77.5,31.5,2.9121685
78.0,31.5,4.009574
75.0,31.0,4.6476984
75.5,31.0,5.039968
76.0,31.0,5.0277824
76.5,31.0,4.542759
77.0,31.0,3.678246
77.5,31.0,3.3478296
78.0,31.0,2.436306
78.5,31.0,3.5119176
74.5,30.5,4.7845135
75.0,30.5,5.007445
75.5,30.5,5.35133
76.0,30.5,5.484206
76.5,30.5,5.6286917
77.0,30.5,5.399262
77.5,30.5,3.4943058
78.0,30.5,2.6767714
78.5,30.5,2.330712
79.0,30.5,2.1397188
79.5,30.5,2.5851252
74.5,30.0,5.0526333
75.0,30.0,5.249751
75.5,30.0,5.583589
76.0,30.0,5.59934
76.5,30.0,5.732772
77.0,30.0,6.0477347
77.5,30.0,5.189205
78.0,30.0,3.6927965
78.5,30.0,3.2415652
79.0,30.0,2.7965353
79.5,30.0,2.5240374
80.0,30.0,1.9558902
74.0,29.5,5.1827846
74.5,29.5,5.0654926
75.0,29.5,5.1492743
75.5,29.5,5.3385878
76.0,29.5,5.4236264
76.5,29.5,5.5420084
77.0,29.5,5.81095
77.5,29.5,5.7154255
78.0,29.5,5.1611447
78.5,29.5,4.6162486
79.0,29.5,3.7531354
79.5,29.5,3.1249552
73.5,29.0,5.571926
74.0,29.0,5.1788416
74.5,29.0,4.981318
75.0,29.0,5.087946
75.5,29.0,5.247195
76.0,29.0,5.3041987
76.5,29.0,5.256791
77.0,29.0,5.4592104
77.5,29.0,5.65888
78.0,29.0,5.684787
